Date,Period,Company-wide Adoption Rate
12/15/2021,Q42021,0.7614467739789315
1/26/2022,Q12022,0.7216500221617161
2/4/2022,Q12022,0.7246500935749118
2/9/2022,Q12022,0.7289550215242953
2/16/2022,Q12022,0.6995082947821428
3/1/2022,Q12022,0.6946085410327085
3/10/2022,Q12022,0.7000706857777018
3/16/2022,Q12022,0.704197568793491
3/23/2022,Q12022,0.7898094658987513
4/21/2022,Q22022,0.7300823998640315
6/22/2022,Q22022,0.8200544204541651
7/14/2022,Q32022,0.8164158894709093
8/5/2022,Q32022,0.8219917130740979
8/17/2022,Q32022,0.8254034092681393
8/23/2022,Q32022,0.8242397693522768
8/25/2022,Q32022,0.7983416877937648
8/29/2022,Q32022,0.8234918891659208
9/2/2022,Q32022,0.8236943810301817
9/6/2022,Q32022,0.832267623542197
9/7/2022,Q32022,0.8336577338548784
9/9/2022,Q32022,0.8342692253551798
9/14/2022,Q32022,0.834558590858577
9/21/2022,Q32022,0.8362459927720242
10/4/2022,Q42022,0.834859902823448
10/14/2022,Q42022,0.839134988965661
10/19/2022,Q42022,0.8398517306773632
10/26/2022,Q42022,0.8443860913586876
11/2/2022,Q42022,0.7589853337065321
11/9/2022,Q42022,0.847717441646773
11/17/2022,Q42022,0.8489364069566591
11/30/2022,Q42022,0.8496193577646356
12/6/2022,Q42022,0.8511366968122657
12/15/2022,Q42022,0.8520779548422398
1/17/2023,Q12023,0.8533505888582267
1/25/2023,Q12023,0.8539161885123765
2/9/2023,Q12023,0.8580641783587136
2/16/2023,Q12023,0.859426188727045
2/23/2023,Q12023,0.8596263352077689
2/28/2023,Q12023,0.8598908241227523
3/9/2023,Q12023,0.8609735824518447
3/15/2023,Q12023,0.8617217244595006
3/22/2023,Q12023,0.8625470781014164
3/29/2023,Q12023,0.8632888998658309
4/4/2023,Q22023,0.8633891314511984
4/12/2023,Q22023,0.8594913437093432
4/19/2023,Q22023,0.8103353492181771
5/3/2023,Q22023,0.8119034585667169
5/22/2023,Q22023,0.8648391669946828
6/6/2023,Q22023,0.8652641875512482
7/12/2023,Q32023,0.8683492521470758
7/18/2023,Q32023,0.8690061984327576